Faction,Tier,Name
Expeditionary Forces of Abyssinia,leader,Emperor of the Crimson Covenant Mulu
Expeditionary Forces of Abyssinia,leader,The Starbound Prelate Fari
Expeditionary Forces of Abyssinia,leader,The Red Monastic Lord Qena
Expeditionary Forces of Abyssinia,leader,The Dust Crowned King Zewde
Expeditionary Forces of Abyssinia,leader,Saint-General of the Eastern Front Dori
Expeditionary Forces of Abyssinia,leader,The Red Monastic Lord Obi
Expeditionary Forces of Abyssinia,leader,Herald of the Last Empire Frehiwot
Expeditionary Forces of Abyssinia,leader,The Blackened Archbishop Obi
Expeditionary Forces of Abyssinia,leader,The Iron Evangelist Nuru
Expeditionary Forces of Abyssinia,leader,The War Choir Master Lilit
Expeditionary Forces of Abyssinia,leader,The Iron Patriarch Desta
Expeditionary Forces of Abyssinia,leader,The Abyss-Touched Strategos Zemzem
Expeditionary Forces of Abyssinia,leader,Abbot-General of Steel Prayer Mesfin
Expeditionary Forces of Abyssinia,leader,The Lion-Born Judge Sani
Expeditionary Forces of Abyssinia,leader,Arch-Bishop of the Ashen Creed Adi
Expeditionary Forces of Abyssinia,leader,The Starbound Prelate Zewditu
Expeditionary Forces of Abyssinia,leader,Captain of the Radiant Spear Lomi
Expeditionary Forces of Abyssinia,leader,The War Choir Master Emebet
Expeditionary Forces of Abyssinia,leader,Saint-General of the Eastern Front Laru
Expeditionary Forces of Abyssinia,leader,The Starbound Prelate Adi
Expeditionary Forces of Abyssinia,leader,Captain of the Radiant Spear Celo
Expeditionary Forces of Abyssinia,leader,High Confessor of War Jani
Expeditionary Forces of Abyssinia,leader,Lord of the Seven Monasteries Yordanos
Expeditionary Forces of Abyssinia,leader,Patriarch of the Black Sun Nati
Expeditionary Forces of Abyssinia,leader,The Holy Executioner of Kings Pano
Expeditionary Forces of Abyssinia,leader,High Confessor of War Selam
Expeditionary Forces of Abyssinia,leader,Protector of the Coptic Gate Imru
Expeditionary Forces of Abyssinia,leader,High Negus of the Sacred Line Genet
Expeditionary Forces of Abyssinia,leader,The Starbound Prelate Ilyas
Expeditionary Forces of Abyssinia,leader,The Spear of Solomon Bekele
Expeditionary Forces of Abyssinia,leader,The Silent Emperor Endale
Expeditionary Forces of Abyssinia,leader,High Negus of the Sacred Line Tani
Expeditionary Forces of Abyssinia,leader,The Ashen Patriarchate Lemma
Expeditionary Forces of Abyssinia,leader,The Holy Executioner of Kings Endale
Expeditionary Forces of Abyssinia,leader,Herald of the Last Empire Bari
Expeditionary Forces of Abyssinia,leader,The War Choir Master Almaz
Expeditionary Forces of Abyssinia,leader,The Iron Evangelist Kebebush
Expeditionary Forces of Abyssinia,leader,The Last Bishop of War Dereje
Expeditionary Forces of Abyssinia,leader,The Deserted Crown Pano
Expeditionary Forces of Abyssinia,leader,The Red Monastic Lord Kaleb
Expeditionary Forces of Abyssinia,leader,The Deserted Crown Tsion
Expeditionary Forces of Abyssinia,leader,Marshal of the Lion Host Ilyas
Expeditionary Forces of Abyssinia,leader,Voice of the Orthodox Flame Fari
Expeditionary Forces of Abyssinia,leader,Marshal of the Lion Host Kiros
Expeditionary Forces of Abyssinia,leader,The Ashen Patriarchate Chala
Expeditionary Forces of Abyssinia,leader,The Siege Saint of Tewahedo Yordanos
Expeditionary Forces of Abyssinia,leader,Patriarch of the Black Sun Amanuel
Expeditionary Forces of Abyssinia,leader,The Blackened Archbishop Yeshimebet
Expeditionary Forces of Abyssinia,leader,The Last Bishop of War Yordanos
Expeditionary Forces of Abyssinia,leader,The Saint of Endless Siege Mesi
Expeditionary Forces of Abyssinia,leader,The Blessed Warlord Yordanos
Expeditionary Forces of Abyssinia,leader,The War Choir Master Tiru
Expeditionary Forces of Abyssinia,leader,The Silent Emperor Almaz
Expeditionary Forces of Abyssinia,leader,The Abyssal Monk-King Haile
Expeditionary Forces of Abyssinia,leader,The Saint of Endless Siege Eden
Expeditionary Forces of Abyssinia,leader,High Negus of the Sacred Line Celo
Expeditionary Forces of Abyssinia,leader,The Golden Liturgist Rasu
Expeditionary Forces of Abyssinia,leader,The Siege Saint of Tewahedo Kalu
Expeditionary Forces of Abyssinia,leader,The Lion-Born Judge Girma
Expeditionary Forces of Abyssinia,leader,Protector of the Coptic Gate Jember
Expeditionary Forces of Abyssinia,leader,The Martyr-Commander Rahelia
Expeditionary Forces of Abyssinia,leader,The War Saint of Axum Senait
Expeditionary Forces of Abyssinia,leader,The Iron Evangelist Gabi
Expeditionary Forces of Abyssinia,leader,The Starbound Prelate Mareg
Expeditionary Forces of Abyssinia,leader,The Martyr-Commander Addis
Expeditionary Forces of Abyssinia,leader,High Confessor of War Fikre
Expeditionary Forces of Abyssinia,leader,The Lion-Born Judge Sefu
Expeditionary Forces of Abyssinia,leader,Keeper of the Seventh Seal Hani
Expeditionary Forces of Abyssinia,leader,Saint-General of the Eastern Front Bariu
Expeditionary Forces of Abyssinia,leader,The Blackened Archbishop Getenesh
Expeditionary Forces of Abyssinia,leader,Guardian of the Red Covenant Netsanet
Expeditionary Forces of Abyssinia,leader,The Martyr-Commander Aster
Expeditionary Forces of Abyssinia,leader,General of the Sanctified Legions Lilit
Expeditionary Forces of Abyssinia,leader,Abbot-General of Steel Prayer Zano
Expeditionary Forces of Abyssinia,leader,The Blessed Warlord Wubet
Expeditionary Forces of Abyssinia,leader,The Ashen Patriarchate Tewodros
Expeditionary Forces of Abyssinia,leader,The Lion of the Ash Marches Zewde
Cavalcade of the Tenth Plague,grunt,Keziah
Cavalcade of the Tenth Plague,grunt,Hannah
Cavalcade of the Tenth Plague,grunt,Valeria
Cavalcade of the Tenth Plague,grunt,Silence
Cavalcade of the Tenth Plague,grunt,Thomas
Cavalcade of the Tenth Plague,grunt,Micah
Cavalcade of the Tenth Plague,grunt,Null
Cavalcade of the Tenth Plague,grunt,Mary
Cavalcade of the Tenth Plague,grunt,Azor Cycle of the Ashen Gate
Cavalcade of the Tenth Plague,grunt,Elisabet
Cavalcade of the Tenth Plague,grunt,Malchor
Cavalcade of the Tenth Plague,grunt,Delilah
Cavalcade of the Tenth Plague,grunt,Fever The Named End
Cavalcade of the Tenth Plague,grunt,Shira
Cavalcade of the Tenth Plague,grunt,Tabitha
Cavalcade of the Tenth Plague,grunt,Isolde
Cavalcade of the Tenth Plague,grunt,Leah
Cavalcade of the Tenth Plague,grunt,Susanna
Cavalcade of the Tenth Plague,grunt,Isolde
Cavalcade of the Tenth Plague,grunt,Cyprian Beta
Cavalcade of the Tenth Plague,grunt,Crown
Cavalcade of the Tenth Plague,grunt,Severus
Cavalcade of the Tenth Plague,grunt,Azrael
Cavalcade of the Tenth Plague,grunt,Second
Cavalcade of the Tenth Plague,grunt,Third
Cavalcade of the Tenth Plague,grunt,Fourth
Cavalcade of the Tenth Plague,grunt,Lilith
Cavalcade of the Tenth Plague,grunt,Sabina
Cavalcade of the Tenth Plague,grunt,Rift The Completed Horror
Cavalcade of the Tenth Plague,grunt,Naomi
Cavalcade of the Tenth Plague,grunt,Judith The Unsealed Disaster
Cavalcade of the Tenth Plague,grunt,Plague
Cavalcade of the Tenth Plague,grunt,Malachi
Cavalcade of the Tenth Plague,grunt,Ash The Sixth Correction Event
Cavalcade of the Tenth Plague,grunt,Cassia
Cavalcade of the Tenth Plague,grunt,Psalm
Cavalcade of the Tenth Plague,grunt,Elisabet
Cavalcade of the Tenth Plague,grunt,Mask
Cavalcade of the Tenth Plague,grunt,Yael Cycle of the Ashen Gate
Cavalcade of the Tenth Plague,grunt,Seventh
Cavalcade of the Tenth Plague,grunt,Sign
Cavalcade of the Tenth Plague,grunt,Ezekiel
Cavalcade of the Tenth Plague,grunt,Micah
Cavalcade of the Tenth Plague,grunt,Zechariah
Cavalcade of the Tenth Plague,grunt,Rift The Broken Judgment
Cavalcade of the Tenth Plague,grunt,End
Cavalcade of the Tenth Plague,grunt,Mordecai
Cavalcade of the Tenth Plague,grunt,Felix Cycle of the Iron Seal
Cavalcade of the Tenth Plague,grunt,Selene
Cavalcade of the Tenth Plague,grunt,Jezebel
Cavalcade of the Tenth Plague,grunt,Sarah Cycle of the Iron Seal
Cavalcade of the Tenth Plague,grunt,Obadiah
Cavalcade of the Tenth Plague,grunt,Delilah
Cavalcade of the Tenth Plague,grunt,End The Plague That Waits
Cavalcade of the Tenth Plague,grunt,Ezekiel
Cavalcade of the Tenth Plague,grunt,Fifth Echo of the Eighth Death
Cavalcade of the Tenth Plague,grunt,Theodora
Cavalcade of the Tenth Plague,grunt,Amos
Cavalcade of the Tenth Plague,grunt,Salome The Unnamed End
Cavalcade of the Tenth Plague,grunt,Scar Echo of the Sixth Death
Cavalcade of the Tenth Plague,grunt,Cassia
Cavalcade of the Tenth Plague,grunt,Cassian Gamma
Cavalcade of the Tenth Plague,grunt,Gershon
Cavalcade of the Tenth Plague,grunt,Sabina
Cavalcade of the Tenth Plague,grunt,Zillah
Cavalcade of the Tenth Plague,grunt,Mask
Cavalcade of the Tenth Plague,grunt,Scream
Cavalcade of the Tenth Plague,grunt,Eliana
Cavalcade of the Tenth Plague,grunt,Omen
Cavalcade of the Tenth Plague,grunt,Mara The Completed Horror
Cavalcade of the Tenth Plague,grunt,Elisabet
Cavalcade of the Tenth Plague,grunt,Joram
Cavalcade of the Tenth Plague,grunt,Dread Echo of the Fourth Death
Cavalcade of the Tenth Plague,grunt,Cyprian
Cavalcade of the Tenth Plague,grunt,Echo Cycle of the Ashen Gate
Cavalcade of the Tenth Plague,grunt,Zillah
Cavalcade of the Tenth Plague,grunt,Peter
Cavalcade of the Tenth Plague,grunt,Aurelia
Cavalcade of the Tenth Plague,grunt,Eighth The Last Warning Cycle
Cavalcade of the Tenth Plague,grunt,Raphael
Cavalcade of the Tenth Plague,grunt,Ignatius
Cavalcade of the Tenth Plague,grunt,Jezebel
Cavalcade of the Tenth Plague,grunt,Ash
Cavalcade of the Tenth Plague,grunt,Tobias
Cavalcade of the Tenth Plague,grunt,Joram
Cavalcade of the Tenth Plague,grunt,Psalm
Cavalcade of the Tenth Plague,grunt,Sear
Cavalcade of the Tenth Plague,grunt,Martha Delta
Cavalcade of the Tenth Plague,grunt,Eremiel
Cavalcade of the Tenth Plague,grunt,Simon The Unsealed Disaster
Cavalcade of the Tenth Plague,grunt,Tobias
Cavalcade of the Tenth Plague,grunt,Malachi The Walking Cataclysm
Cavalcade of the Tenth Plague,grunt,Isaac
Cavalcade of the Tenth Plague,grunt,Keziah
Cavalcade of the Tenth Plague,grunt,Zillah Beta
Cavalcade of the Tenth Plague,grunt,Sear
Cavalcade of the Tenth Plague,grunt,Azor
Cavalcade of the Tenth Plague,grunt,Sarah
Cavalcade of the Tenth Plague,grunt,Zechariah
Cavalcade of the Tenth Plague,grunt,Cassia
Cavalcade of the Tenth Plague,elite,Elazar the Broken Warning
Cavalcade of the Tenth Plague,elite,Mask the Iron End
Cavalcade of the Tenth Plague,elite,Abner the Hollow Cycle
Cavalcade of the Tenth Plague,elite,Hannah the Drowned Judgment
Cavalcade of the Tenth Plague,elite,Cinder the Walking Curse
Cavalcade of the Tenth Plague,elite,Cyprian the End Walking
Cavalcade of the Tenth Plague,elite,Micah the Ash Crowned
Cavalcade of the Tenth Plague,elite,Tobiasen the Ashen Plague
Cavalcade of the Tenth Plague,elite,Eighth the Hollow Plague
Cavalcade of the Tenth Plague,elite,Ignatius the Iron End
Cavalcade of the Tenth Plague,elite,Sixth the Walking Seal
Cavalcade of the Tenth Plague,elite,Tobias the Walking Seal
Cavalcade of the Tenth Plague,elite,Thomas the Drowned Judgment
Cavalcade of the Tenth Plague,elite,Aaron the Ash Crowned
Cavalcade of the Tenth Plague,elite,Kallian the Broken Mercy
Cavalcade of the Tenth Plague,elite,Fourth the Silent Affliction
Cavalcade of the Tenth Plague,elite,Dinah the Mercy Broken
Cavalcade of the Tenth Plague,elite,Victor the Burning Iteration
Cavalcade of the Tenth Plague,elite,Nathan the Ash Crowned
Cavalcade of the Tenth Plague,elite,Isolde the Iron Afflicted
Cavalcade of the Tenth Plague,elite,Mask the Drowned Judgment
Cavalcade of the Tenth Plague,elite,Vespera the Plague Remembered
Cavalcade of the Tenth Plague,elite,Second the End Twice Spoken
Cavalcade of the Tenth Plague,elite,Yael the Cycle Unending
Cavalcade of the Tenth Plague,elite,Cry the Plague Remembered
Cavalcade of the Tenth Plague,elite,Cassiel
Cavalcade of the Tenth Plague,elite,Fourth the Ashen Warning
Cavalcade of the Tenth Plague,elite,Ezekiel the Silent Ender
Cavalcade of the Tenth Plague,elite,Sabina the Hollow Mercy
Cavalcade of the Tenth Plague,elite,Ignatius the Silent Cataclysm
Cavalcade of the Tenth Plague,elite,Tenth the Hollow Plague
Cavalcade of the Tenth Plague,elite,Abner the Silent Plague
Cavalcade of the Tenth Plague,elite,Second the Tenth Silence
Cavalcade of the Tenth Plague,elite,Baruch the Cycle Unending
Cavalcade of the Tenth Plague,elite,Breath the Walking Seal
Cavalcade of the Tenth Plague,elite,Raphael the Catastrophe Marked
